case_idx,task,ctx_bucket,prompt_len_tokens,anchor_4gram_hits,anchor_2gram_hits,anchor_6gram_hits,tf_idf_weighted_4gram,answer,prompt_preview
0,fwe,8192,8185,16,16,16,7.0,"['frovtgsf', 'njhoo', 'vgpkppzu']",The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
1,fwe,8192,8169,16,16,16,11.25,"['koxnqh', 'sjbbu', 'wlttm']",The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
2,fwe,8192,8192,16,16,16,7.4,"['melbuepz', 'ntiuql', 'sxszptj']",The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
3,fwe,8192,8192,16,16,16,4.6,"['kfldfavu', 'zdhrkjl', 'zhcgl']",The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
4,fwe,8192,8158,16,16,16,2.625,"['atykxhc', 'burmo', 'mlzxzsk']",The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass is green. 
0,niah_single,1024,1020,5,7,3,5.0,3792314,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,1020,5,7,3,5.0,0097883,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,958,4,6,2,4.0,9018267,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1024,3,5,1,3.0,5493079,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,958,4,6,2,4.0,6947257,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1019,5,7,3,5.0,9149312,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,959,4,6,2,4.0,2787142,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,958,4,6,2,4.0,1319291,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,957,4,6,2,4.0,8570335,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,1020,5,7,3,5.0,5108166,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1020,5,7,3,5.0,8623317,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,1019,4,6,2,4.0,1754344,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,1024,3,5,1,3.0,7932961,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1022,6,8,4,6.0,6462386,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,958,4,6,2,4.0,5713582,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1022,6,8,4,6.0,4028674,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,958,4,6,2,4.0,8113144,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,958,4,6,2,4.0,3794708,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1022,6,8,4,6.0,4548765,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,1020,5,7,3,5.0,0768297,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1020,5,7,3,5.0,7826469,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,1022,6,8,4,6.0,1334276,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,959,4,6,2,4.0,8771503,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1020,5,7,3,5.0,8987377,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,1020,5,7,3,5.0,7546320,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1020,5,7,3,5.0,4968142,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,958,4,6,2,4.0,0911957,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,958,4,6,2,4.0,6076694,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1020,5,7,3,5.0,4923355,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,958,4,6,2,4.0,2570487,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1020,5,7,3,5.0,0013321,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,958,4,6,2,4.0,5915610,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,958,4,6,2,4.0,5952211,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1019,5,7,3,5.0,3387585,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,1022,6,8,4,6.0,2836219,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,1024,1020,5,7,3,5.0,6354726,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
1,niah_single,1024,1021,5,7,3,5.0,1767925,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
2,niah_single,1024,1019,4,6,2,4.0,7150832,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
3,niah_single,1024,1021,5,7,3,5.0,4620380,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
4,niah_single,1024,1019,4,6,2,4.0,1050871,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
0,niah_single,16384,16378,4,6,2,4.0,8725231,Below is a long passage. Answer the question at the end based ONLY on information in the passage.  The grass is green. The sky is blue. The sun is yellow. Here we go. There and back again. The grass i
